Group ID,Group name,TLV value,Known TLV,TLV name,Function
64,drives all get,131488,✔,TlvTypeGetAllDrivesRequest,
64,drives all get,131744,✔,TlvTypeGetAllDrivesReply,
66,contents folder get,135328,✔,TlvTypeGetFolderContentsRequest,
66,contents folder get,135584,✔,TlvTypeGetFolderContentsReply,
66,contents folder get,135840,✔,TlvTypeGetFolderContentsNext,
66,contents folder get,136096,✔,TlvTypeGetFolderContentsEnd,
68,download file,139424,✔,TlvTypeDownloadFileRequest,
68,download file,139680,✔,TlvTypeCancelDownloadFileRequest,
68,download file,139936,✔,TlvTypeDownloadFileReply,
68,download file,140192,✔,TlvTypeDownloadFileNext,
68,download file,140448,✔,TlvTypeDownloadFileEnd,
68,download file,140704,✔,TlvTypeCancelDownloadFileReply,
70,upload file,143520,✔,TlvTypeUploadFileRequest,
70,upload file,143776,✔,TlvTypeCancelUploadFileRequest,
70,upload file,144032,✔,TlvTypeUploadFileReply,
70,upload file,144288,✔,TlvTypeUploadFileNext,
70,upload file,144544,✔,TlvTypeUploadFileEnd,
70,upload file,144800,✔,TlvTypeUploadFileCompleted,
70,upload file,145056,✔,TlvTypeCancelUploadFileReply,
72,delete file,147616,✔,TlvTypeDeleteFileRequest,
72,delete file,147872,✔,TlvTypeDeleteFileReply,
74,search file,151968,✔,TlvTypeSearchFileRequest,
74,search file,152224,✔,TlvTypeSearchFileReply,
74,search file,152480,✔,TlvTypeSearchFileNext,
74,search file,152736,✔,TlvTypeSearchFileEnd,
74,search file,152992,✔,TlvTypeCancelSearchFileRequest,
74,search file,153248,✔,TlvTypeCancelSearchFileReply,
78,fs,159888,✔,TlvTypeFSFileDataChunk,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/d, L/org/xmlpush/v3/o/h, L/org/xmlpush/v3/h/c"
78,fs,160128,✔,TlvTypeFSDiskDrive,Lorg/xmlpush/v3/o/e
78,fs,160384,✔,TlvTypeFSFullPath,"Lorg/xmlpush/v3/n/m, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/f/b, L/org/xmlpush/v3/o/h, L/org/xmlpush/v3/h/c"
78,fs,160640,✔,TlvTypeFSFilename,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, L/org/xmlpush/v3/h/c"
78,fs,160896,✔,TlvTypeFSFileExtension,
78,fs,161088,✔,TlvTypeFSDiskDriveType,Lorg/xmlpush/v3/o/e
78,fs,161408,✔,TlvTypeFSFileSize,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
78,fs,161584,✔,TlvTypeFSIsFolder,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,161840,✔,TlvTypeFSReadOnly,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,162096,✔,TlvTypeFSHidden,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,162352,✔,TlvTypeFSSystem,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,162688,✔,TlvTypeFSFileCreationTime,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,162944,✔,TlvTypeFSFileLastAccessTime,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,163200,✔,TlvTypeFSFileLastWriteTime,"Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e, Lorg/xmlpush/v3/o/e"
79,fs,163472,✔,TlvTypeFSFullPathM,"Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, Lorg/xmlpush/v3/o/d, L/org/xmlpush/v3/h/c"
79,fs,163632,×,unknown,Lorg/xmlpush/v3/o/e
82,system config file,168096,✔,TlvTypeGetFileSystemConfigRequest,
82,system config file,168352,✔,TlvTypeFileSystemConfigReply,
82,system config file,168608,✔,TlvTypeSetFileSystemConfigRequest,
128,line cmd,262560,✔,TlvTypeStartCmdLineSessionRequest,
128,line cmd,262816,✔,TlvTypeStartCmdLineSessionReply,
128,line cmd,263072,✔,TlvTypeStopCmdLineSessionRequest,
128,line cmd,263328,✔,TlvTypeCmdLineSessionStoppedReply,
128,line cmd,263584,✔,TlvTypeCmdLineExecute,
128,line cmd,263840,✔,TlvTypeCmdLineExecutionResult,
130,line cmd execute,266352,✔,TlvTypeCmdLineExecuteCommand,
130,line cmd execute,266560,✔,TlvTypeCmdLineExecuteAnswerID,
130,line cmd execute,266864,✔,TlvTypeCmdLineExecuteAnswerData,
146,line config cmd,299168,✔,TlvTypeGetCmdLineConfigRequest,
146,line config cmd,299424,✔,TlvTypeCmdLineConfigReply,
146,line config cmd,299680,✔,TlvTypeSetCmdLineConfigRequest,
160,config scheduler,328096,✔,TlvTypeGetSchedulerConfigRequest,
160,config scheduler,328352,✔,TlvTypeSchedulerConfigReply,
160,config scheduler,328608,✔,TlvTypeSetSchedulerConfigRequest,
162,task scheduler,331920,✔,TlvTypeSchedulerTask,
162,task scheduler,332192,✔,TlvTypeSchedulerTaskRecordByTime,
162,task scheduler,332448,✔,TlvTypeSchedulerTaskRecordScreenWhenAppRuns,
162,task scheduler,332704,✔,TlvTypeSchedulerTaskRecordMicWhenAppUsesIt,
162,task scheduler,332960,✔,TlvTypeSchedulerTaskRecordWebCamWhenAppUsesIt,
176,sch,360592,✔,TlvTypeSCHTaskConfiguration,L/org/xmlpush/v3/h/c
176,sch,360752,✔,TlvTypeSCHTaskEnabled,L/org/xmlpush/v3/h/c
176,sch,361344,✔,TlvTypeSCHTaskStartDateTime,L/org/xmlpush/v3/h/c
176,sch,361600,✔,TlvTypeSCHTaskStopDateTime,L/org/xmlpush/v3/h/c
176,sch,362112,✔,TlvTypeSCHApplicationName,
176,sch,362288,✔,TlvTypeSCHApplicationWindowOnly,
512,microphone,1048992,✔,TlvTypeStartMicrophoneRequest,
512,microphone,1049248,✔,TlvTypeStartMicrophoneReply,
512,microphone,1049504,✔,TlvTypeMicrophoneFrame,
512,microphone,1049760,✔,TlvTypeStopMicrophoneRequest,
512,microphone,1050016,✔,TlvTypeMicrophoneStoppedReply,
512,microphone,1050272,✔,TlvTypeStartMicrophoneRecording,
514,,1052736,✔,TlvTypeMICFrameID,"Lorg/xmlpush/v3/o/a, Lorg/xmlpush/v3/o/n"
514,,1053072,✔,TlvTypeMICFrameData,"Lorg/xmlpush/v3/o/a, Lorg/xmlpush/v3/o/n"
514,,1053312,✔,TlvTypeAudioSessionType,
514,,1053568,✔,TlvTypeAudioEncodingType,
518,audio config,1061024,✔,TlvTypeGetAudioConfigRequest,
518,audio config,1061280,✔,TlvTypeAudioConfigReply,
518,audio config,1061536,✔,TlvTypeSetAudioConfigRequest,
520,type video,1066112,✔,TlvTypeVideoSessionType,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b, Lorg/xmlpush/v3/o/b"
520,type video,1066368,✔,TlvTypeVideoEncodingType,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b, Lorg/xmlpush/v3/o/b"
544,screen,1114528,✔,TlvTypeStartScreenRequest,
544,screen,1114784,✔,TlvTypeStartScreenReply,
544,screen,1115040,✔,TlvTypeScreenFrame,
544,screen,1115296,✔,TlvTypeStopScreenRequest,
544,screen,1115552,✔,TlvTypeScreenStoppedReply,
544,screen,1115808,✔,TlvTypeStartScreenRecording,
548,cam web,1122720,✔,TlvTypeStartWebCamRequest,
548,cam web,1122976,✔,TlvTypeStartWebCamReply,
548,cam web,1123232,✔,TlvTypeWebCamFrame,
548,cam web,1123488,✔,TlvTypeStopWebCamRequest,
548,cam web,1123744,✔,TlvTypeWebCamStoppedReply,
548,cam web,1124000,✔,TlvTypeStartWebCamRecording,
550,config video,1126560,✔,TlvTypeGetVideoConfigRequest,
550,config video,1126816,✔,TlvTypeVideoConfigReply,
550,config video,1127072,✔,TlvTypeSetVideoConfigRequest,
552,,1130560,✔,TlvTypeVDFrameID,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b"
552,,1130896,✔,TlvTypeVDFrameData,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b"
552,,1131136,✔,TlvTypeOriginalVideoResolution,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b, Lorg/xmlpush/v3/o/b"
552,,1131392,✔,TlvTypeVideoResolution,"Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/k, Lorg/xmlpush/v3/o/b, Lorg/xmlpush/v3/o/b"
552,,1132160,✔,TlvTypeAutomaticRecordingUID,
576,key logging,1180064,✔,TlvTypeStartKeyLoggingRequest,
576,key logging,1180320,✔,TlvTypeStartKeyLoggingReply,
576,key logging,1180576,✔,TlvTypeKeyLoggingFrame,
576,key logging,1180832,✔,TlvTypeStopKeyLoggingRequest,
576,key logging,1181088,✔,TlvTypeKeyLoggingStoppedReply,
582,config keylogger,1192096,✔,TlvTypeGetKeyloggerConfigRequest,
582,config keylogger,1192352,✔,TlvTypeKeyloggerConfigReply,
582,config keylogger,1192608,✔,TlvTypeSetKeyloggerConfigRequest,
584,kl frame data,1196416,✔,TlvTypeKLFrameData,Lorg/xmlpush/v3/o/i
640,skype,1311136,✔,TlvTypeSkypeAudioMetaInfo,
640,skype,1311376,✔,TlvTypeSkypeAudioRecording,
640,skype,1311648,✔,TlvTypeSkypeTextRecording,
640,skype,1311904,✔,TlvTypeSkypeFileMetaInfo,
640,skype,1312144,✔,TlvTypeSkypeFileRecording,
640,skype,1312416,✔,TlvTypeSkypeContactsRecording,
640,skype,1312640,✔,TlvTypeSkypeContactsUserData,
646,config skype,1323168,✔,TlvTypeGetSkypeConfigRequest,
646,config skype,1323424,✔,TlvTypeSkypeConfigReply,
646,config skype,1323680,✔,TlvTypeSetSkypeConfigRequest,
646,config skype,1324336,✔,TlvTypeConfigSkypeAudioEnable,
646,config skype,1324592,✔,TlvTypeConfigSkypeTextEnable,
646,config skype,1324848,✔,TlvTypeConfigSkypeFileEnable,
647,config contacts enable list skype,1325104,✔,TlvTypeConfigSkypeContactsListEnable,
648,skype,1327232,✔,TlvTypeSkypeAudioEncodingType,
648,skype,1327488,✔,TlvTypeSkypeLoggedInUserAccountName,
648,skype,1327744,✔,TlvTypeSkypeConversationPartnerAccountName,
648,skype,1328000,✔,TlvTypeSkypeConversationPartnerDisplayName,
648,skype,1328256,✔,TlvTypeSkypeChatMembers,
648,skype,1328512,✔,TlvTypeSkypeTextMessage,
648,skype,1328768,✔,TlvTypeSkypeChatID,
648,skype,1329024,✔,TlvTypeSkypeSenderAccountName,
649,skype,1329280,✔,TlvTypeSkypeSenderDisplayName,
649,skype,1329536,✔,TlvTypeSkypeIncoming,
649,skype,1329792,✔,TlvTypeSkypeSessionType,
704,changed file,1442208,✔,TlvTypeChangedFileMetaInfo,
704,changed file,1442432,✔,TlvTypeChangedFileChangeTime,
704,changed file,1442688,✔,TlvTypeChangedFileChangeEvent,
704,changed file,1442960,✔,TlvTypeChangedFileRecording,
710,config changed,1454240,✔,TlvTypeGetChangedConfigRequest,
710,config changed,1454496,✔,TlvTypeChangedConfigReply,
710,config changed,1454752,✔,TlvTypeSetChangedConfigRequest,
710,config changed,1454912,✔,TlvTypeConfigChangedEvents,
736,,1507744,✔,TlvTypeAccessedFileMetaInfo,
736,,1507968,✔,TlvTypeAccessedFileAccessTime,
736,,1508224,✔,TlvTypeAccessedFileAccessEvent,
736,,1508496,✔,TlvTypeAccessedFileRecording,
736,,1508736,✔,TlvTypeAccessedApplicationName,
736,,1508912,✔,TlvTypeConfigRecordImagesFromExplorer,
742,accessed config,1519776,✔,TlvTypeGetAccessedConfigRequest,
742,accessed config,1520032,✔,TlvTypeAccessedConfigReply,
742,accessed config,1520288,✔,TlvTypeSetAccessedConfigRequest,
742,accessed config,1520448,✔,TlvTypeConfigAccessedEvents,
768,print,1573280,✔,TlvTypePrintFileMetaInfo,
768,print,1573520,✔,TlvTypePrintFrame,
772,print,1581184,✔,TlvTypePrintApplicationName,
772,print,1581440,✔,TlvTypePrintFilename,
772,print,1581696,✔,TlvTypePrintEncodingType,
774,print config,1585312,✔,TlvTypeGetPrintConfigRequest,
774,print config,1585568,✔,TlvTypePrintConfigReply,
774,print config,1585824,✔,TlvTypeSetPrintConfigRequest,
800,deleted,1638816,✔,TlvTypeDeletedFileMetaInfo,
800,deleted,1639296,✔,TlvTypeDeletedFileDeletionTime,
800,deleted,1639552,✔,TlvTypeDeletedFileRecycleBin,
800,deleted,1639808,✔,TlvTypeDeletedMethod,
800,deleted,1640064,✔,TlvTypeDeletedApplicationName,
800,deleted,1640336,✔,TlvTypeDeletedFileRecording,
806,config deleted,1650848,✔,TlvTypeGetDeletedConfigRequest,
806,config deleted,1651104,✔,TlvTypeDeletedConfigReply,
806,config deleted,1651360,✔,TlvTypeSetDeletedConfigRequest,
1024,application upload forensics,2097568,✔,TlvTypeUploadForensicsApplicationRequest,
1024,application upload forensics,2097824,✔,TlvTypeUploadForensicsApplicationReply,
1024,application upload forensics,2098080,✔,TlvTypeUploadForensicsApplicationChunk,
1024,application upload forensics,2098336,✔,TlvTypeUploadForensicsApplicationDoneRequest,
1024,application upload forensics,2098592,✔,TlvTypeUploadForensicsApplicationDoneReply,
1026,application remove forensics,2101664,✔,TlvTypeRemoveForensicsApplicationRequest,
1026,application remove forensics,2101920,✔,TlvTypeRemoveForensicsApplicationReply,
1028,app forensics execute,2105760,✔,TlvTypeForensicsAppExecuteRequest,
1028,app forensics execute,2106016,✔,TlvTypeForensicsAppExecuteReply,
1028,app forensics execute,2106272,✔,TlvTypeForensicsAppExecuteResult,
1028,app forensics execute,2106528,✔,TlvTypeForensicsAppExecuteResultChunk,
1028,app forensics execute,2106784,✔,TlvTypeForensicsAppExecuteResultDone,
1028,app forensics execute,2107040,✔,TlvTypeForensicsCancelAppExecuteRequest,
1028,app forensics execute,2107296,✔,TlvTypeForensicsCancelAppExecuteReply,
1030,config forensics,2109600,✔,TlvTypeGetForensicsConfigRequest,
1030,config forensics,2109856,✔,TlvTypeForensicsConfigReply,
1030,config forensics,2110112,✔,TlvTypeSetForensicsConfigRequest,
1032,application config info forensics,2113680,✔,TlvTypeConfigForensicsApplicationInfoGeneric,
1032,application config info forensics,2113952,✔,TlvTypeConfigForensicsApplicationInfo,
1034,forensics,2117760,✔,TlvTypeConfigForensicsApplicationName,
1034,forensics,2117952,✔,TlvTypeConfigForensicsApplicationSize,
1034,forensics,2118208,✔,TlvTypeConfigForensicsApplicationID,
1034,forensics,2118528,✔,TlvTypeConfigForensicsApplicationCmdline,
1034,forensics,2118784,✔,TlvTypeConfigForensicsApplicationOutput,
1034,forensics,2118976,✔,TlvTypeConfigForensicsApplicationTimeout,
1034,forensics,2119232,✔,TlvTypeConfigForensicsApplicationVersion,
1034,forensics,2119552,✔,TlvTypeForensicsFriendlyName,
1035,output application config forensics,2119808,✔,TlvTypeConfigForensicsApplicationOutputPrepend,
1035,output application config forensics,2120064,✔,TlvTypeConfigForensicsApplicationOutputContentType,
1056,vo meta info ip,2163104,✔,TlvTypeVoIPMetaInfo,
1058,vo ip,2166912,✔,TlvTypeVoIPEncodingType,
1058,vo ip,2167168,✔,TlvTypeVoIPSessionType,
1058,vo ip,2167424,✔,TlvTypeVoIPApplicationName,Lorg/xmlpush/v3/o/n
1058,vo ip,2167696,✔,TlvTypeVoIPAppScreenshot,
1058,vo ip,2167952,✔,TlvTypeVoIPAudioRecording,
1058,vo ip,2168112,✔,TlvTypeConfigVoIPScreenshotEnabled,
1062,vo config ip,2175136,✔,TlvTypeGetVoIPConfigRequest,
1062,vo config ip,2175392,✔,TlvTypeVoIPConfigReply,
1062,vo config ip,2175648,✔,TlvTypeSetVoIPConfigRequest,
1088,clicks mouse,2228640,✔,TlvTypeMouseClicksMetaInfo,
1088,clicks mouse,2228896,✔,TlvTypeMouseClicksFrame,
1090,clicks mouse,2232448,✔,TlvTypeMouseClicksEncodingType,
1090,clicks mouse,2232896,✔,TlvTypeConfigMouseClicksRectangle,
1090,clicks mouse,2233152,✔,TlvTypeConfigMouseClicksSensitivity,
1090,clicks mouse,2233408,✔,TlvTypeConfigMouseClicksType,
1094,clicks config mouse,2240672,✔,TlvTypeGetMouseClicksConfigRequest,
1094,clicks config mouse,2240928,✔,TlvTypeMouseClicksConfigReply,
1094,clicks config mouse,2241184,✔,TlvTypeSetMouseClicksConfigRequest,
2112,sms,4325792,✔,TlvTypeMobileSMSMetaInfo,Lorg/xmlpush/v3/f/b
2112,sms,4326016,✔,TlvTypeMobileSMSData,Lorg/xmlpush/v3/f/b
2112,sms,4326256,✔,TlvTypeSMSSenderNumber,Lorg/xmlpush/v3/f/b
2112,sms,4326512,✔,TlvTypeSMSRecipientNumber,Lorg/xmlpush/v3/f/b
2112,sms,4326528,✔,TlvTypeSMSInformation,
2112,sms,4326768,✔,TlvTypeSMSDirection,Lorg/xmlpush/v3/f/b
2112,sms,4327040,×,unknown,Lorg/xmlpush/v3/f/b
2144,address book mobile,4391328,✔,TlvTypeMobileAddressBookMetaInfo,Lorg/xmlpush/v3/i/a
2144,address book mobile,4391552,✔,TlvTypeMobileAddressBookData,Lorg/xmlpush/v3/i/a
2152,address book checksum mobile,4407360,✔,TlvTypeMobileAddressBookChecksum,
2176,mobile blackberry,4456864,✔,TlvTypeMobileBlackberryMessengerMetaInfo,
2176,mobile blackberry,4457088,✔,TlvTypeMobileBlackberryMessengerData,
2176,mobile blackberry,4457328,✔,TlvTypeMobileBlackberryMsChatID,
2176,mobile blackberry,4457600,✔,TlvTypeMobileBlackberryMsConversationPartners,
2208,mobile tracking,4522400,✔,TlvTypeMobileTrackingStartRequest,
2208,mobile tracking,4522656,✔,TlvTypeMobileTrackingStopRequest,
2208,mobile tracking,4523376,✔,TlvTypeMobileTrackingDataV10,"Lorg/xmlpush/v3/t/e, Lorg/xmlpush/v3/t/e, Lorg/xmlpush/v3/t/e, Lorg/xmlpush/v3/t/e"
2214,mobile config tracking,4535200,✔,TlvTypeMobileTrackingConfig,Lorg/xmlpush/v3/h/c
2214,mobile config tracking,4535440,✔,TlvTypeMobileTrackingConfigRaw,"Lorg/xmlpush/v3/q/c, L/org/xmlpush/v3/h/c"
2216,mobile tracking,4538432,✔,TlvTypeMobileTrackingTimeInterval,L/org/xmlpush/v3/h/c
2216,mobile tracking,4538688,✔,TlvTypeMobileTrackingDistance,L/org/xmlpush/v3/h/c
2216,mobile tracking,4538928,✔,TlvTypeMobileTrackingSendOnAnyChannel,L/org/xmlpush/v3/h/c
2240,mobile call phone,4587936,✔,TlvTypeMobilePhoneCallLogsMetaInfo,Lorg/xmlpush/v3/f/a
2240,mobile call phone,4588192,✔,TlvTypeMobilePhoneCallLogsData,Lorg/xmlpush/v3/f/b
2240,mobile call phone,4588400,✔,TlvTypeMobilePhoneCallLogsType,Lorg/xmlpush/v3/f/b
2240,mobile call phone,4588672,✔,TlvTypeMobilePhoneCallAdditionalInformation,Lorg/xmlpush/v3/f/b
2240,mobile call phone,4588912,✔,TlvTypeMobilePhoneCallLogsCallerNumber,Lorg/xmlpush/v3/f/b
2240,mobile call phone,4589168,✔,TlvTypeMobilePhoneCallLogsCalleeNumber,Lorg/xmlpush/v3/f/b
2240,mobile call phone,4589440,✔,TlvTypeMobilePhoneCallLogsCallerName,Lorg/xmlpush/v3/f/b
2241,name call phone logs mobile callee,4589696,✔,TlvTypeMobilePhoneCallLogsCalleeName,Lorg/xmlpush/v3/f/b
2242,last call phone entry mobile endtime log,4591680,✔,TlvTypeMobilePhoneCallLogLastEntryEndtime,
3072,mobile logging,6291872,✔,TlvTypeMobileLoggingMetaInfo,
3072,mobile logging,6292096,✔,TlvTypeMobileLoggingData,
3616,master agent,7405984,✔,TlvTypeMasterAgentLogin,
3616,master agent,7406240,✔,TlvTypeMasterAgentLoginAnswer,
3616,master agent,7406752,✔,TlvTypeMasterAgentTargetList,
3616,master agent,7407008,✔,TlvTypeMasterAgentTargetOnlineList,
3616,master agent,7407264,✔,TlvTypeMasterAgentTargetInfoReply,
3616,master agent,7407520,✔,TlvTypeMasterAgentUserList,
3617,master agent list,7407776,✔,TlvTypeMasterAgentUserListReply,
3617,master agent list,7408032,✔,TlvTypeMasterAgentTargetArchivedList,
3617,master agent list,7408288,✔,TlvTypeMasterAgentTargetListEx,
3617,master agent list,7408544,✔,TlvTypeMasterAgentTargetOnlineListEx,
3617,master agent list,7408800,✔,TlvTypeMasterAgentMobileTargetArchivedList,
3617,master agent list,7409056,✔,TlvTypeMasterAgentMobileTargetList,
3617,master agent list,7409312,✔,TlvTypeMasterAgentMobileTargetOnlineList,
3618,,7409824,✔,TlvTypeMasterAgentQueryFirst,
3618,,7410080,✔,TlvTypeMasterAgentQueryNext,
3618,,7410336,✔,TlvTypeMasterAgentQueryLast,
3618,,7410592,✔,TlvTypeMasterAgentQueryAnswer,
3618,,7410848,✔,TlvTypeMasterAgentRemoveRecord,
3618,,7411104,✔,TlvTypeMasterAgentTargetInfoExReply,
3618,,7411344,✔,TlvTypeTargetInfoExProperty,
3618,,7411616,✔,TlvTypeTargetInfoExPropertyValue,
3619,,7411840,✔,TlvTypeTargetInfoExPropertyValueName,
3619,,7411968,✔,TlvTypeTargetInfoExPropertyValueData,
3619,,7412384,✔,TlvTypeMasterAgentAlarm,
3620,master agent,7413920,✔,TlvTypeMasterAgentRetrieveData,
3620,master agent,7414176,✔,TlvTypeMasterAgentRetrieveDataAnswer,
3620,master agent,7414432,✔,TlvTypeMasterAgentRemoveUser,
